Rank,Method,WSADE,ADEv,ADEp,ADEb,WSFDE,FDEv,FDEp,FDEb
210,Own_55,1.2497,2.169,0.7248,1.798,2.3405,3.9159,1.3938,3.404
211,TypeLL39,1.2497,2.1338,0.7224,1.8359,2.3437,3.8558,1.3848,3.497
212,GNN_48,1.2498,2.1495,0.7506,1.7478,2.3447,3.928,1.4393,3.2922
213,6_270,1.2499,2.1095,0.7431,1.8045,2.3438,3.7908,1.4402,3.4106
214,TypeL48,1.2499,1.9078,0.8455,1.7181,2.3436,3.3926,1.6523,3.2125
215,ssa_tf,1.25,2.0952,0.7272,1.8601,2.3561,3.8318,1.4145,3.497
216,1.2583,1.2501,2.162,0.7175,1.8251,2.315,3.8486,1.3683,3.4165
217,glen0233,1.2505,2.1135,0.7354,1.8238,2.3442,3.8218,1.413,3.4559
218,MODEL_26,1.2506,2.1626,0.724,1.8097,2.3441,3.9046,1.3926,3.434
219,22_235,1.2506,2.1364,0.723,1.8364,2.3481,3.8328,1.4088,3.4749
220,22_219,1.2506,2.1364,0.723,1.8364,2.3481,3.8328,1.4088,3.4749
221,Expt32,1.2507,2.033,0.801,1.7249,2.3573,3.6443,1.5584,3.2936
222,10_243,1.251,2.1617,0.7179,1.8285,2.3305,3.9146,1.358,3.4545
223,20_250,1.251,2.1571,0.7203,1.8264,2.3232,3.855,1.3796,3.4184
224,TP-GAT-41-14,1.2513,2.2148,0.6965,1.8382,2.3347,3.9907,1.3418,3.4468
225,MODEL_60(2),1.2515,2.1836,0.7244,1.7937,2.3514,3.9712,1.3892,3.4155
226,undefined_43,1.2515,2.1656,0.7241,1.811,2.3418,3.9134,1.3869,3.4306
227,15_216,1.2518,2.1655,0.716,1.8338,2.344,3.8995,1.3734,3.4888
228,21_282,1.2518,2.1137,0.7268,1.8524,2.3487,3.755,1.4188,3.5218
229,20_207,1.2519,2.1593,0.7198,1.8296,2.324,3.8513,1.3766,3.4332
230,MODEL_35(4),1.2521,2.1894,0.7178,1.8088,2.3455,3.9653,1.3772,3.4256
231,TypeL30,1.2521,2.1886,0.7058,1.8409,2.3333,3.9402,1.3454,3.4769
232,TP-GAT-46-12,1.2523,2.2102,0.7148,1.7984,2.3372,4.006,1.3654,3.3822
233,GRIP,1.2524,2.2081,0.7142,1.8024,2.344,3.9805,1.3732,3.4155
234,undefined_39,1.2525,2.1631,0.7268,1.8108,2.3401,3.9001,1.3877,3.4329
235,MODEL_25(3),1.2526,2.1716,0.7243,1.81,2.3592,3.9532,1.401,3.4364
236,21_239,1.2526,2.1348,0.7179,1.8601,2.3285,3.7799,1.3787,3.5131
237,21_295,1.2526,2.1348,0.7179,1.8601,2.3285,3.7799,1.3787,3.5131
238,MODEL_20(3),1.2528,2.1601,0.7275,1.813,2.3447,3.8987,1.3949,3.4358
239,10_292,1.2528,2.1831,0.7083,1.8427,2.3114,3.9239,1.3221,3.4536
240,own_50,1.2529,2.1836,0.7174,1.8187,2.3348,3.9066,1.3768,3.4314
241,Expt23,1.253,2.1685,0.7253,1.8119,2.3343,3.8831,1.3952,3.4023
242,T_GAT,1.2531,2.172,0.7439,1.7601,2.3303,3.9,1.4264,3.2865
243,MODEL_36,1.2531,2.1913,0.7182,1.8104,2.3461,3.9816,1.368,3.4379
244,fnb186,1.2531,2.1814,0.7176,1.8211,2.3555,3.965,1.3812,3.461
245,MODEL_48(2),1.2533,2.1755,0.7237,1.8112,2.3538,3.9582,1.3927,3.4292
246,34_1,1.2533,2.1658,0.7285,1.8072,2.3566,3.92,1.4009,3.455
247,4_264,1.2533,2.1494,0.729,1.8208,2.3487,3.9072,1.3909,3.4571
248,10_233,1.2534,2.1726,0.7189,1.827,2.32,3.8982,1.3636,3.4065
249,gfdgdf,1.2534,2.2258,0.7562,1.6801,2.3339,4.0337,1.4515,3.115
250,1gatxing-xy6-WS-2lay-e44,1.2536,2.2239,0.7212,1.7749,2.3172,4.029,1.3659,3.2692
251,15_237,1.2538,2.164,0.7244,1.8219,2.3387,3.8784,1.3932,3.4318
252,MODEL_40(2),1.2539,2.1833,0.7318,1.7856,2.3595,3.9596,1.4107,3.4061
253,MODEL_45(5),1.2539,2.1794,0.7244,1.8086,2.3552,3.9369,1.3998,3.436
254,STGTP-ai3,1.2539,2.2303,0.6976,1.8329,2.3331,4.0124,1.3369,3.4327
255,xriver007_1all_e21load,1.254,2.2097,0.7116,1.8151,2.3263,3.9512,1.3527,3.4161
256,MODEL_40(4),1.2541,2.1966,0.7215,1.8013,2.3386,3.9742,1.3772,3.3863
257,MODEL_65,1.2541,2.1397,0.7517,1.7736,2.3568,3.9084,1.442,3.358
258,13_278,1.2541,2.1178,0.7335,1.8416,2.3446,3.8169,1.3931,3.5145
259,fgfgfg,1.2543,2.1897,0.7485,1.7372,2.3565,4.0107,1.4375,3.2755
260,wdsb,1.2543,2.185,0.7519,1.7329,2.3662,3.9933,1.457,3.2839
261,own_45(1),1.2544,2.1936,0.7135,1.8266,2.3416,3.93,1.3771,3.4404
262,MODEL_44,1.2544,2.086,0.7836,1.7394,2.3449,3.7793,1.5033,3.2595
263,6_262,1.2544,2.0975,0.7444,1.8327,2.3592,3.7654,1.4461,3.4883
264,MODEL_61,1.2547,2.1777,0.7121,1.8463,2.346,3.9176,1.362,3.5116
